date,open,high,low,close,adjclose,volume,dividend,split_ratio
2024-10-01,119.05999755859375,119.7300033569336,116.54000091552734,117.11000061035156,105.4600830078125,1708200,0.0,0.0
2024-10-02,115.86000061035156,116.69999694824219,114.80999755859375,116.23999786376953,104.67662811279297,1713700,0.0,0.0
2024-10-03,115.5199966430664,116.25,114.11000061035156,115.37999725341797,103.90217590332031,1024800,0.0,0.0
2024-10-04,115.0199966430664,115.2699966430664,112.94000244140625,114.9000015258789,103.46993255615234,1079900,0.0,0.0
2024-10-07,114.29000091552734,114.41000366210938,112.37000274658203,113.55999755859375,102.26322937011719,1004700,0.0,0.0
2024-10-08,113.80000305175781,114.0,112.58000183105469,113.80000305175781,102.4793472290039,917100,0.0,0.0
2024-10-09,114.16999816894531,114.41000366210938,113.08000183105469,114.41000366210938,103.02865600585938,745800,0.0,0.0
2024-10-10,114.08999633789062,115.13999938964844,113.91999816894531,115.0999984741211,103.65003204345703,1525600,0.0,0.0
2024-10-11,115.80000305175781,118.01000213623047,115.80000305175781,117.5999984741211,105.90133666992188,1251400,0.0,0.0
2024-10-14,117.2699966430664,120.05999755859375,116.87999725341797,120.0,108.06258392333984,1163100,0.0,0.0
2024-10-15,120.66999816894531,122.62999725341797,120.52999877929688,121.19999694824219,109.14320373535156,1127700,0.0,0.0
2024-10-16,122.08000183105469,123.0999984741211,121.68000030517578,122.66999816894531,110.46697998046875,750000,0.0,0.0
2024-10-17,122.16999816894531,122.66999816894531,121.1500015258789,121.25,109.18824005126953,1266400,0.0,0.0
2024-10-18,122.25,122.25,120.95999908447266,121.79000091552734,109.67451477050781,1760100,0.0,0.0
2024-10-21,121.51000213623047,121.69999694824219,119.29000091552734,119.5199966430664,107.63032531738281,1805700,0.0,0.0
2024-10-22,120.6500015258789,120.6500015258789,115.79000091552734,117.97000122070312,106.23452758789062,2144000,0.0,0.0
2024-10-23,118.05000305175781,121.19999694824219,117.66000366210938,119.9000015258789,107.97254180908203,1934200,0.0,0.0
2024-10-24,119.52999877929688,120.58000183105469,116.30000305175781,116.3499984741211,104.77568054199219,1499900,0.0,0.0
2024-10-25,116.19999694824219,116.9000015258789,112.9800033569336,113.0199966430664,101.77693939208984,1215400,0.0,0.0
2024-10-28,113.9000015258789,114.52999877929688,112.62999725341797,112.72000122070312,101.50679779052734,1188000,0.0,0.0
2024-10-29,112.72000122070312,113.06999969482422,111.37999725341797,111.6500015258789,100.54322814941406,1389100,0.0,0.0
2024-10-30,111.77999877929688,114.80000305175781,111.5,113.41000366210938,102.12815856933594,1527600,0.0,0.0
2024-10-31,112.5999984741211,113.4800033569336,111.37000274658203,111.55000305175781,100.45318603515625,1428400,0.0,0.0
2024-11-01,112.56999969482422,112.94000244140625,110.54000091552734,110.86000061035156,99.83181762695312,1114000,0.0,0.0
2024-11-04,111.44999694824219,113.05000305175781,111.11000061035156,112.98999786376953,101.74992370605469,1123800,0.0,0.0
2024-11-05,112.0,114.16000366210938,111.94999694824219,113.83999633789062,102.51536560058594,792100,0.0,0.0
2024-11-06,114.5,116.5199966430664,110.69999694824219,113.04000091552734,101.79496002197266,1228700,0.0,0.0
2024-11-07,112.94999694824219,113.9800033569336,112.19999694824219,113.72000122070312,102.40731048583984,731800,0.0,0.0
2024-11-08,113.5999984741211,114.55000305175781,113.16999816894531,114.04000091552734,102.69548034667969,876500,0.0,0.0
2024-11-11,114.0,114.69000244140625,110.94000244140625,111.36000061035156,100.28208923339844,1770100,0.0,0.0
2024-11-12,110.77999877929688,111.4800033569336,108.19000244140625,108.33000183105469,97.55350494384766,1034500,0.0,0.0
2024-11-13,109.5199966430664,110.54000091552734,108.62000274658203,109.02999877929688,98.1838607788086,866700,0.0,0.0
2024-11-14,108.83999633789062,109.43000030517578,107.9800033569336,108.2699966430664,97.49946594238281,1012800,0.0,0.0
2024-11-15,106.79000091552734,107.52999877929688,104.9000015258789,105.58000183105469,95.07707214355469,1257800,0.0,0.0
2024-11-18,104.91999816894531,105.30000305175781,103.68000030517578,105.22000122070312,94.75288391113281,1744500,0.0,0.0
2024-11-19,104.80000305175781,105.2300033569336,104.05999755859375,104.48999786376953,94.09549713134766,1003300,0.0,0.0
2024-11-20,103.98999786376953,104.62000274658203,102.88999938964844,104.30999755859375,93.93341064453125,1135200,0.0,0.0
2024-11-21,104.36000061035156,106.25,104.1500015258789,105.88999938964844,95.3562240600586,1186100,0.0,0.0
2024-11-22,106.0,108.31999969482422,105.77999877929688,108.30000305175781,97.52647399902344,1308500,0.0,0.0
2024-11-25,109.31999969482422,112.3499984741211,109.31999969482422,112.04000091552734,100.89443969726562,2326200,0.0,0.0
2024-11-26,111.81999969482422,112.19000244140625,110.87999725341797,111.75,100.63328552246094,1134800,0.0,0.0
2024-11-27,110.88999938964844,112.41999816894531,110.36000061035156,110.5199966430664,99.52562713623047,814700,0.0,0.0
2024-11-29,110.36000061035156,111.51000213623047,110.0,110.2300033569336,99.26449584960938,715300,0.0,0.0
2024-12-02,110.0,110.31999969482422,109.05000305175781,109.69999694824219,98.78720092773438,1118900,0.0,0.0
2024-12-03,109.05000305175781,109.6500015258789,107.83000183105469,108.0199966430664,97.27433013916016,999800,0.0,0.0
2024-12-04,107.83000183105469,108.22000122070312,103.4800033569336,104.93000030517578,94.49172973632812,1996300,0.0,0.0
2024-12-05,104.56999969482422,105.63999938964844,103.37999725341797,105.43000030517578,94.9419937133789,1186100,0.0,0.0
2024-12-06,105.43000030517578,106.0,103.51000213623047,103.8499984741211,93.5191650390625,1115800,0.0,0.0
2024-12-09,104.97000122070312,107.19000244140625,104.30000305175781,106.75,96.13067626953125,1507600,0.0,0.0
2024-12-10,107.06999969482422,107.06999969482422,104.13999938964844,104.5,94.10449981689453,972200,0.0,0.0
2024-12-11,104.7300033569336,105.0199966430664,103.04000091552734,103.38999938964844,93.10491180419922,977900,0.0,0.0
2024-12-12,103.01000213623047,104.05000305175781,102.55999755859375,102.66999816894531,92.45654296875,932300,0.0,0.0
2024-12-13,102.27999877929688,102.81999969482422,101.38999938964844,102.66000366210938,92.44754791259766,1235400,0.0,0.0
2024-12-16,102.12000274658203,103.97000122070312,101.33999633789062,101.37000274658203,91.2858657836914,1286100,0.0,0.0
2024-12-17,101.0,103.12999725341797,100.4000015258789,102.30999755859375,92.1323471069336,1473200,0.0,0.0
2024-12-18,101.91999816894531,103.01000213623047,97.9000015258789,97.93000030517578,88.18807220458984,2237400,0.0,0.0
2024-12-19,99.01000213623047,99.66000366210938,97.20999908447266,97.29000091552734,87.61174011230469,1876700,0.0,0.0
2024-12-20,98.55000305175781,100.75,98.02999877929688,99.16999816894531,89.30471801757812,4019500,0.0,0.0
2024-12-23,98.44000244140625,99.16999816894531,97.13999938964844,98.91000366210938,89.07059478759766,1415700,0.0,0.0
2024-12-24,98.3499984741211,99.4800033569336,97.80999755859375,99.44000244140625,89.54786682128906,425800,0.0,0.0
2024-12-26,98.77999877929688,100.2699966430664,98.5999984741211,99.63999938964844,89.72795867919922,641700,0.0,0.0
2024-12-27,98.94999694824219,100.37999725341797,97.83999633789062,98.3499984741211,88.5662841796875,1305500,0.0,0.0
2024-12-30,98.0,98.22000122070312,96.44000244140625,97.80000305175781,88.07101440429688,1065500,0.0,0.0
2024-12-31,97.16000366210938,97.87000274658203,96.44999694824219,97.55000305175781,89.0477523803711,1326100,1.32,0.0
2025-01-02,97.87000274658203,98.01000213623047,96.33000183105469,97.5,89.0020980834961,1134800,0.0,0.0
