date,open,high,low,close,adjclose,volume,dividend,split_ratio
2024-10-01,146.47000122070312,147.2100067138672,145.1699981689453,145.6699981689453,139.4185333251953,1003900,0.0,0.0
2024-10-02,144.60000610351562,146.97999572753906,144.27000427246094,146.10000610351562,139.83009338378906,1324500,0.0,0.0
2024-10-03,145.8800048828125,146.25,144.49000549316406,144.67999267578125,138.4709930419922,847400,0.0,0.0
2024-10-04,143.33999633789062,144.13999938964844,141.7100067138672,142.57000732421875,136.4515838623047,853600,0.0,0.0
2024-10-07,142.0500030517578,142.0500030517578,135.6999969482422,136.99000549316406,131.11105346679688,1689100,0.0,0.0
2024-10-08,137.72999572753906,138.42999267578125,137.19000244140625,137.38999938964844,131.49386596679688,918700,0.0,0.0
2024-10-09,136.88999938964844,137.8000030517578,135.5,136.17999267578125,130.33580017089844,857900,0.0,0.0
2024-10-10,133.60000610351562,136.77999877929688,133.60000610351562,136.22000122070312,130.3740997314453,876300,0.0,0.0
2024-10-11,137.0,138.99000549316406,136.66000366210938,138.8699951171875,132.91033935546875,689300,0.0,0.0
2024-10-14,139.24000549316406,140.72000122070312,138.97999572753906,140.3699951171875,134.34597778320312,597700,0.0,0.0
2024-10-15,140.39999389648438,142.6699981689453,140.32000732421875,141.1999969482422,135.14036560058594,833600,0.0,0.0
2024-10-16,141.30999755859375,142.83999633789062,141.27999877929688,142.5800018310547,136.4611358642578,651600,0.0,0.0
2024-10-17,142.27999877929688,142.5,140.22999572753906,140.7899932861328,134.74795532226562,585700,0.0,0.0
2024-10-18,141.00999450683594,142.1999969482422,139.08999633789062,141.9600067138672,135.86776733398438,818500,0.0,0.0
2024-10-21,141.94000244140625,142.7899932861328,140.6999969482422,141.0500030517578,134.99679565429688,564900,0.0,0.0
2024-10-22,139.60000610351562,140.99000549316406,138.92999267578125,140.75,134.7096710205078,888700,0.0,0.0
2024-10-23,141.25,142.6699981689453,141.07000732421875,142.1199951171875,136.02085876464844,1290000,0.0,0.0
2024-10-24,142.38999938964844,142.97000122070312,139.74000549316406,139.8000030517578,133.80044555664062,712500,0.0,0.0
2024-10-25,140.25999450683594,140.25999450683594,137.57000732421875,137.66000366210938,131.75228881835938,592200,0.0,0.0
2024-10-28,138.88999938964844,139.89999389648438,138.17999267578125,138.7899932861328,132.8338165283203,564800,0.0,0.0
2024-10-29,137.52000427246094,138.1300048828125,135.75,135.8000030517578,129.97210693359375,1054600,0.0,0.0
2024-10-30,136.25,136.91000366210938,135.52999877929688,135.69000244140625,129.86683654785156,1329800,0.0,0.0
2024-10-31,137.83999633789062,139.99000549316406,135.0,138.11000061035156,132.18295288085938,1544600,0.0,0.0
2024-11-01,138.35000610351562,138.88999938964844,135.97000122070312,136.0,130.1635284423828,1044400,0.0,0.0
2024-11-04,136.4499969482422,136.4600067138672,134.0,135.3000030517578,129.49356079101562,1569000,0.0,0.0
2024-11-05,135.66000366210938,137.1300048828125,134.5399932861328,137.11000061035156,131.2258758544922,911400,0.0,0.0
2024-11-06,133.74000549316406,135.61000061035156,131.50999450683594,133.5800018310547,127.84738159179688,2141200,0.0,0.0
2024-11-07,133.8000030517578,134.6300048828125,132.69000244140625,132.83999633789062,127.1391372680664,1260100,0.0,0.0
2024-11-08,133.75,136.3300018310547,133.5,136.08999633789062,130.24966430664062,1076000,0.0,0.0
2024-11-11,135.30999755859375,136.5399932861328,134.5,134.77000427246094,128.986328125,926800,0.0,0.0
2024-11-12,133.8699951171875,133.8699951171875,132.22999572753906,132.42999267578125,127.47028350830078,932800,0.765,0.0
2024-11-13,133.3699951171875,133.97000122070312,131.75,132.44000244140625,127.47991180419922,1260300,0.0,0.0
2024-11-14,132.88999938964844,133.41000366210938,131.88999938964844,132.02000427246094,127.0756607055664,980600,0.0,0.0
2024-11-15,132.22999572753906,134.3800048828125,131.75,134.22999572753906,129.20289611816406,1590400,0.0,0.0
2024-11-18,133.47000122070312,136.88999938964844,133.17999267578125,136.6699981689453,131.55149841308594,1372300,0.0,0.0
2024-11-19,138.0399932861328,138.39999389648438,136.19000244140625,138.1999969482422,133.02420043945312,1585000,0.0,0.0
2024-11-20,138.6300048828125,139.1699981689453,137.60000610351562,137.88999938964844,132.72579956054688,1096500,0.0,0.0
2024-11-21,138.4199981689453,139.0800018310547,136.6999969482422,138.7899932861328,133.5921173095703,953000,0.0,0.0
2024-11-22,138.99000549316406,139.7100067138672,137.02999877929688,137.30999755859375,132.1675262451172,1207700,0.0,0.0
2024-11-25,138.25999450683594,139.3699951171875,136.3699951171875,136.74000549316406,131.618896484375,4339200,0.0,0.0
2024-11-26,136.75999450683594,137.66000366210938,135.10000610351562,137.58999633789062,132.43704223632812,1332800,0.0,0.0
2024-11-27,138.36000061035156,139.49000549316406,137.9199981689453,138.30999755859375,133.1300811767578,746600,0.0,0.0
2024-11-29,137.72000122070312,138.5800018310547,136.77000427246094,136.94000244140625,131.81141662597656,593800,0.0,0.0
2024-12-02,137.4499969482422,137.52999877929688,135.02999877929688,135.60000610351562,130.52159118652344,1000000,0.0,0.0
2024-12-03,136.13999938964844,136.80999755859375,134.0800018310547,134.10000610351562,129.0777587890625,1455800,0.0,0.0
2024-12-04,133.99000549316406,134.3300018310547,130.41000366210938,131.00999450683594,126.10348510742188,1876600,0.0,0.0
2024-12-05,131.2100067138672,132.5500030517578,130.17999267578125,132.10000610351562,127.15267944335938,1050100,0.0,0.0
2024-12-06,131.8300018310547,132.77999877929688,131.10000610351562,132.3699951171875,127.41253662109375,1308000,0.0,0.0
2024-12-09,131.97000122070312,132.80999755859375,130.5399932861328,130.72000122070312,125.82435607910156,1229400,0.0,0.0
2024-12-10,130.72000122070312,131.7899932861328,128.75999450683594,130.97999572753906,126.07460021972656,838100,0.0,0.0
2024-12-11,130.8300018310547,131.58999633789062,130.00999450683594,130.33999633789062,125.45858764648438,822500,0.0,0.0
2024-12-12,130.38999938964844,131.82000732421875,129.61000061035156,130.5500030517578,125.66070556640625,739200,0.0,0.0
2024-12-13,130.22999572753906,130.52999877929688,129.3300018310547,129.58999633789062,124.73664855957031,747800,0.0,0.0
2024-12-16,129.47000122070312,130.94000244140625,128.72000122070312,128.91000366210938,124.08213806152344,856400,0.0,0.0
2024-12-17,128.25999450683594,131.1699981689453,128.1999969482422,129.17999267578125,124.34201049804688,1114100,0.0,0.0
2024-12-18,128.19000244140625,128.75999450683594,124.4000015258789,124.43000030517578,119.7699203491211,1750000,0.0,0.0
2024-12-19,123.87999725341797,125.44999694824219,123.83000183105469,123.83000183105469,119.19239044189453,1368600,0.0,0.0
2024-12-20,122.70999908447266,126.30999755859375,122.70999908447266,125.91999816894531,121.20410919189453,3327600,0.0,0.0
2024-12-23,125.30000305175781,126.04000091552734,124.19999694824219,125.9800033569336,121.2618637084961,956200,0.0,0.0
2024-12-24,125.2300033569336,126.23999786376953,124.72000122070312,125.7300033569336,121.02122497558594,470100,0.0,0.0
2024-12-26,125.16000366210938,126.5999984741211,124.80999755859375,126.16000366210938,121.43512725830078,643700,0.0,0.0
