date,open,high,low,close,adjclose,volume,dividend,split_ratio
2024-10-01,16.59000015258789,16.639999389648438,16.049999237060547,16.239999771118164,15.028291702270508,9444600,0.0,0.0
2024-10-02,16.229999542236328,16.510000228881836,16.139999389648438,16.209999084472656,15.000530242919922,6980600,0.0,0.0
2024-10-03,16.1200008392334,16.3799991607666,15.949999809265137,16.3700008392334,15.148592948913574,8057200,0.0,0.0
2024-10-04,16.649999618530273,16.989999771118164,16.610000610351562,16.780000686645508,15.528000831604004,9477500,0.0,0.0
2024-10-07,16.690000534057617,16.8700008392334,16.549999237060547,16.770000457763672,15.518747329711914,6204900,0.0,0.0
2024-10-08,16.84000015258789,16.899999618530273,16.700000762939453,16.729999542236328,15.481731414794922,7104400,0.0,0.0
2024-10-09,16.729999542236328,17.010000228881836,16.649999618530273,16.8700008392334,15.611289024353027,7331900,0.0,0.0
2024-10-10,16.739999771118164,16.90999984741211,16.6200008392334,16.84000015258789,15.583525657653809,7297700,0.0,0.0
2024-10-11,16.979999542236328,17.469999313354492,16.93000030517578,17.219999313354492,15.935172080993652,10220300,0.0,0.0
2024-10-14,17.030000686645508,17.440000534057617,16.90999984741211,17.399999618530273,16.101741790771484,11829800,0.0,0.0
2024-10-15,17.479999542236328,17.940000534057617,17.459999084472656,17.489999771118164,16.185028076171875,11298800,0.0,0.0
2024-10-16,17.719999313354492,17.8799991607666,17.559999465942383,17.700000762939453,16.379358291625977,11862200,0.0,0.0
2024-10-17,17.200000762939453,17.520000457763672,16.899999618530273,17.25,15.962932586669922,16550800,0.0,0.0
2024-10-18,17.15999984741211,17.479999542236328,17.15999984741211,17.350000381469727,16.05547332763672,10728800,0.0,0.0
2024-10-21,17.360000610351562,17.530000686645508,17.059999465942383,17.09000015258789,15.814871788024902,7560400,0.0,0.0
2024-10-22,17.059999465942383,17.229999542236328,17.0,17.170000076293945,15.888904571533203,8539000,0.0,0.0
