date,open,high,low,close,adjclose,volume,dividend,split_ratio
2024-10-01,536.2999877929688,538.1799926757812,527.3200073242188,534.97998046875,529.7980346679688,426500,0.0,0.0
2024-10-02,529.8599853515625,532.469970703125,518.27001953125,521.0499877929688,516.0029907226562,624700,0.0,0.0
2024-10-03,522.0999755859375,524.4199829101562,515.7000122070312,521.22998046875,516.1812744140625,427600,0.0,0.0
2024-10-04,526.3599853515625,528.9099731445312,518.7899780273438,524.1099853515625,519.0333862304688,303700,0.0,0.0
2024-10-07,520.0,521.989990234375,515.9000244140625,518.6500244140625,513.626220703125,363100,0.0,0.0
2024-10-08,521.739990234375,524.9299926757812,516.280029296875,523.989990234375,518.9144287109375,345600,0.0,0.0
2024-10-09,523.989990234375,534.22998046875,521.0,531.1599731445312,526.0150756835938,281600,0.0,0.0
2024-10-10,526.1699829101562,539.7000122070312,523.0,534.52001953125,529.342529296875,291800,0.0,0.0
2024-10-11,532.780029296875,545.969970703125,532.780029296875,544.9000244140625,539.6220703125,270700,0.0,0.0
2024-10-14,543.989990234375,553.0900268554688,542.0,552.3499755859375,546.999755859375,330700,0.0,0.0
2024-10-15,554.7100219726562,572.6500244140625,554.7100219726562,561.8900146484375,556.4474487304688,414300,0.0,0.0
2024-10-16,562.0599975585938,571.469970703125,558.239990234375,570.9000244140625,565.3701782226562,439700,0.0,0.0
2024-10-17,574.469970703125,578.9299926757812,569.7999877929688,573.4500122070312,567.8953857421875,435100,0.0,0.0
2024-10-18,575.5399780273438,582.6500244140625,567.4099731445312,581.0,575.372314453125,354000,0.0,0.0
2024-10-21,580.1199951171875,580.4099731445312,573.27001953125,577.530029296875,571.9359130859375,363200,0.0,0.0
2024-10-22,575.3599853515625,575.3599853515625,560.6400146484375,560.9500122070312,555.5164184570312,307400,0.0,0.0
2024-10-23,559.8400268554688,564.3300170898438,556.3099975585938,562.7899780273438,557.3386840820312,313500,0.0,0.0
2024-10-24,562.5800170898438,571.9500122070312,559.510009765625,570.6500244140625,565.1224975585938,381800,0.0,0.0
2024-10-25,577.75,580.280029296875,567.6400146484375,570.2100219726562,564.6868286132812,248700,0.0,0.0
2024-10-28,574.469970703125,579.9099731445312,573.3200073242188,578.27001953125,572.6687622070312,430300,0.0,0.0
2024-10-29,574.22998046875,584.260009765625,571.1300048828125,583.8800048828125,578.2244262695312,647900,0.0,0.0
2024-10-30,583.0,610.3400268554688,575.2100219726562,604.8499755859375,598.9912109375,917400,0.0,0.0
2024-10-31,596.6300048828125,601.530029296875,592.280029296875,592.3400268554688,586.6024780273438,629300,0.0,0.0
2024-11-01,594.5700073242188,596.4199829101562,580.0499877929688,580.1400146484375,574.5206298828125,496800,0.0,0.0
2024-11-04,580.97998046875,582.8200073242188,577.52001953125,581.97998046875,576.3428344726562,326300,0.0,0.0
2024-11-05,580.1099853515625,587.1300048828125,580.1099853515625,582.52001953125,576.8776245117188,569600,0.0,0.0
2024-11-06,610.25,633.22998046875,610.25,617.3099975585938,611.33056640625,1163500,0.0,0.0
2024-11-07,622.4500122070312,622.4500122070312,614.6400146484375,617.1599731445312,611.1820068359375,517000,0.0,0.0
2024-11-08,618.6900024414062,624.1099853515625,617.1500244140625,619.5800170898438,613.5785522460938,402800,0.0,0.0
2024-11-11,624.5900268554688,626.1099853515625,615.3499755859375,616.0499877929688,610.0828247070312,379400,0.0,0.0
2024-11-12,613.6099853515625,614.02001953125,605.6400146484375,606.7899780273438,600.9124755859375,312200,0.0,0.0
2024-11-13,607.0,610.25,603.3300170898438,605.260009765625,599.3973388671875,507100,0.0,0.0
2024-11-14,604.3300170898438,606.969970703125,586.6400146484375,587.9600219726562,582.2649536132812,469800,0.0,0.0
2024-11-15,587.77001953125,589.52001953125,579.3400268554688,583.030029296875,577.3826293945312,400300,0.0,0.0
