date,open,high,low,close,adjclose,volume,dividend,split_ratio
2024-10-01,245.3699951171875,245.99000549316406,237.6300048828125,238.75,234.88685607910156,1334400,0.0,0.0
2024-10-02,237.1999969482422,239.88999938964844,234.88999938964844,238.86000061035156,234.99508666992188,875300,0.0,0.0
2024-10-03,238.25999450683594,239.13999938964844,236.6199951171875,238.42999267578125,234.57205200195312,544700,0.0,0.0
2024-10-04,239.47000122070312,239.47000122070312,233.44000244140625,233.97999572753906,230.1940460205078,755300,0.0,0.0
2024-10-07,234.6699981689453,236.5399932861328,230.44000244140625,232.2899932861328,228.5313720703125,651000,0.0,0.0
2024-10-08,233.47000122070312,237.82000732421875,233.14999389648438,236.05999755859375,232.24038696289062,744100,0.0,0.0
2024-10-09,236.0,238.19000244140625,234.11000061035156,237.0399932861328,233.20452880859375,749700,0.0,0.0
2024-10-10,233.7899932861328,238.4499969482422,233.7899932861328,237.92999267578125,234.0801239013672,766000,0.0,0.0
2024-10-11,238.47999572753906,242.50999450683594,238.41000366210938,240.50999450683594,236.61837768554688,504700,0.0,0.0
2024-10-14,240.1199951171875,242.22999572753906,238.69000244140625,240.7100067138672,236.81517028808594,588200,0.0,0.0
2024-10-15,242.3699951171875,243.99000549316406,238.72999572753906,239.17999267578125,235.30990600585938,1024700,0.0,0.0
2024-10-16,238.19000244140625,242.11000061035156,237.4499969482422,238.33999633789062,234.48348999023438,815900,0.0,0.0
2024-10-17,239.77999877929688,242.14999389648438,237.3699951171875,239.58999633789062,235.7132568359375,839300,0.0,0.0
2024-10-18,240.60000610351562,241.6699981689453,237.77999877929688,240.0,236.1166229248047,766400,0.0,0.0
2024-10-21,241.05999755859375,242.44000244140625,238.39999389648438,240.0500030517578,236.1658477783203,972900,0.0,0.0
2024-10-22,239.05999755859375,241.1699981689453,237.6300048828125,239.97999572753906,236.09695434570312,614600,0.0,0.0
2024-10-23,239.1300048828125,240.22000122070312,235.0800018310547,237.39999389648438,233.55870056152344,1019700,0.0,0.0
2024-10-24,237.4600067138672,243.99000549316406,237.4600067138672,239.0500030517578,235.18202209472656,1846400,0.0,0.0
2024-10-25,260.0,260.489990234375,252.8000030517578,256.07000732421875,251.92662048339844,3516500,0.0,0.0
2024-10-28,258.0,259.3299865722656,246.27000427246094,246.8300018310547,242.83612060546875,1796100,0.0,0.0
2024-10-29,247.6199951171875,250.08999633789062,243.8300018310547,244.39999389648438,240.44541931152344,1486200,0.0,0.0
2024-10-30,243.3000030517578,245.85000610351562,241.05999755859375,243.02000427246094,239.08775329589844,1105400,0.0,0.0
