date,open,high,low,close,adjclose,volume,dividend,split_ratio
2024-10-01,361.69000244140625,362.0,355.3599853515625,357.2699890136719,351.2844543457031,738900,0.0,0.0
2024-10-02,354.9599914550781,356.94000244140625,351.29998779296875,355.1099853515625,349.1606750488281,830100,0.0,0.0
2024-10-03,354.92999267578125,355.2900085449219,350.7200012207031,351.6099853515625,345.71929931640625,850800,0.0,0.0
2024-10-04,352.3900146484375,354.42999267578125,347.80999755859375,351.2200012207031,345.3358459472656,676900,0.0,0.0
2024-10-07,349.9100036621094,349.9100036621094,343.95001220703125,345.1400146484375,339.35772705078125,1096100,0.0,0.0
2024-10-08,347.8399963378906,351.7200012207031,346.55999755859375,350.7900085449219,344.9130859375,923200,0.0,0.0
2024-10-09,350.6700134277344,354.489990234375,349.04998779296875,353.9599914550781,348.0299377441406,861400,0.0,0.0
2024-10-10,355.0,356.0,351.7900085449219,353.3699951171875,347.4498291015625,740900,0.0,0.0
2024-10-11,355.0,358.8699951171875,352.92999267578125,355.6000061035156,349.64251708984375,787900,0.0,0.0
2024-10-14,356.54998779296875,360.9100036621094,354.8800048828125,359.7099914550781,353.68359375,698600,0.0,0.0
2024-10-15,359.0199890136719,365.0199890136719,357.0899963378906,358.9800109863281,352.9658203125,976000,0.0,0.0
2024-10-16,358.3900146484375,362.3500061035156,356.1400146484375,361.30999755859375,355.2568054199219,796000,0.0,0.0
2024-10-17,362.6099853515625,364.5299987792969,359.0400085449219,359.7300109863281,353.70330810546875,820700,0.0,0.0
2024-10-18,361.1499938964844,371.1700134277344,360.2200012207031,369.55999755859375,363.36859130859375,1589600,0.0,0.0
2024-10-21,367.45001220703125,370.9700012207031,366.2099914550781,367.25,361.09735107421875,906600,0.0,0.0
2024-10-22,366.3800048828125,367.32000732421875,363.0899963378906,366.0199890136719,359.8879089355469,893500,0.0,0.0
2024-10-23,364.7200012207031,366.9700012207031,360.8299865722656,363.239990234375,357.1544494628906,1313400,0.0,0.0
2024-10-24,364.5,366.239990234375,359.8900146484375,359.8999938964844,353.8704528808594,708100,0.0,0.0
2024-10-25,358.489990234375,361.6000061035156,351.2900085449219,352.82000732421875,346.9090881347656,1244500,0.0,0.0
2024-10-28,355.8699951171875,356.5199890136719,354.1499938964844,356.010009765625,350.0456237792969,967700,0.0,0.0
2024-10-29,354.0,362.3599853515625,353.45001220703125,359.010009765625,352.9953308105469,2173500,0.0,0.0
2024-10-30,365.69000244140625,373.7300109863281,357.8999938964844,363.42999267578125,357.34130859375,2242800,0.0,0.0
2024-10-31,360.7300109863281,364.010009765625,355.55999755859375,356.2799987792969,350.3110656738281,1383900,0.0,0.0
2024-11-01,358.1600036621094,367.760009765625,357.7799987792969,367.1499938964844,360.9989318847656,1860500,0.0,0.0
2024-11-04,368.0,369.69000244140625,364.1300048828125,366.8999938964844,360.7531433105469,730100,0.0,0.0
2024-11-05,366.239990234375,370.2900085449219,363.04998779296875,369.8599853515625,363.6635437011719,1346500,0.0,0.0
2024-11-06,374.0,376.0400085449219,364.6199951171875,369.0199890136719,362.837646484375,1366200,0.0,0.0
2024-11-07,370.3399963378906,370.3399963378906,366.1199951171875,369.8299865722656,363.6340637207031,867000,0.0,0.0
2024-11-08,371.1099853515625,377.8299865722656,370.8299865722656,375.9599914550781,369.6614074707031,1009200,0.0,0.0
2024-11-11,377.4700012207031,381.5400085449219,376.1400146484375,378.8599853515625,372.5128173828125,966200,0.0,0.0
2024-11-12,381.4200134277344,388.1199951171875,380.55999755859375,387.1099853515625,380.62457275390625,1634100,0.0,0.0
2024-11-13,386.6700134277344,390.5899963378906,385.3399963378906,388.3399963378906,381.83392333984375,1685900,0.0,0.0
2024-11-14,389.5400085449219,392.70001220703125,382.3999938964844,383.2799987792969,376.8587951660156,1811800,0.0,0.0
2024-11-15,381.989990234375,392.010009765625,380.2099914550781,390.0799865722656,383.5447998046875,2874000,0.0,0.0
2024-11-18,392.9700012207031,398.20001220703125,389.0299987792969,389.3999938964844,382.876220703125,2054600,0.0,0.0
2024-11-19,386.92999267578125,392.30999755859375,385.8900146484375,388.67999267578125,382.1682434082031,1524200,0.0,0.0
2024-11-20,389.8500061035156,390.0,382.25,385.67999267578125,379.218505859375,1098100,0.0,0.0
2024-11-21,387.19000244140625,390.3699951171875,384.57000732421875,390.1400146484375,383.6038513183594,1136200,0.0,0.0
2024-11-22,390.4100036621094,391.07000732421875,381.4800109863281,384.8500061035156,378.4024353027344,1069700,0.0,0.0
2024-11-25,386.2900085449219,388.42999267578125,379.5,384.9100036621094,378.4614562988281,2102800,0.0,0.0
2024-11-26,388.0,389.95001220703125,384.9100036621094,389.7099914550781,383.1809997558594,1014600,0.0,0.0
2024-11-27,389.1600036621094,391.3999938964844,387.82000732421875,388.1400146484375,381.6373291015625,1018000,0.0,0.0
2024-11-29,387.0299987792969,393.29998779296875,386.4599914550781,392.1499938964844,385.58013916015625,711200,0.0,0.0
2024-12-02,393.25,394.1400146484375,388.6700134277344,389.6300048828125,383.10235595703125,1216500,0.0,0.0
2024-12-03,389.489990234375,391.8999938964844,386.4599914550781,390.9700012207031,384.4199523925781,923700,0.0,0.0
2024-12-04,390.75,392.2099914550781,387.9599914550781,389.760009765625,383.2301940917969,707700,0.0,0.0
2024-12-05,387.17999267578125,388.7099914550781,379.82000732421875,382.45001220703125,376.0426940917969,1319500,0.0,0.0
2024-12-06,383.0899963378906,389.989990234375,383.0899963378906,385.0199890136719,378.5695495605469,1049400,0.0,0.0
2024-12-09,384.79998779296875,385.1499938964844,378.75,381.1099853515625,374.7250671386719,924900,0.0,0.0
2024-12-10,384.1199951171875,385.55999755859375,381.0899963378906,382.67999267578125,376.268798828125,1281700,0.0,0.0
2024-12-11,383.0199890136719,386.6300048828125,375.260009765625,376.1600036621094,369.8580322265625,1214000,0.0,0.0
