ticker,cik,sector
AAPL,0000320193,Technology
MSFT,0000789019,Technology
IBM,0000051143,Technology
CSCO,0000858877,Technology
CRM,0001108524,Technology
NVDA,0001045810,Technology
V,0001403161,Financials
JPM,0000019617,Financials
GS,0000886982,Financials
AXP,0000004962,Financials
TRV,0000086312,Financials
JNJ,0000200406,Healthcare
UNH,0000731766,Healthcare
MRK,0000310158,Healthcare
AMGN,0000318154,Healthcare
HD,0000354950,Consumer
MCD,0000063908,Consumer
NKE,0000320187,Consumer
AMZN,0001018724,Consumer
DIS,0001744489,Consumer
PG,0000080424,Staples
KO,0000021344,Staples
WMT,0000104169,Staples
CVX,0000093410,Energy
CAT,0000018230,Industrials
BA,0000012927,Industrials
HON,0000773840,Industrials
MMM,0000066740,Industrials
VZ,0000732712,Communications
DOW,0001751788,Materials
