date,topology,gross_ret,net_ret,turnover,rank_ic_round0,rank_ic_final,manager_source,longs,shorts,rationale
2024-12-31,full,0.010389549575352042,0.008389549575352042,1.0,-0.025846733756116635,0.04179798995864714,llm,AMZN|AAPL|NVDA|JNJ|MCD,MSFT|CRM|UNH|BA|IBM,Long tech and consumer leaders with high confidence; short underperforming tech and industrials.
2024-12-31,sparse,-0.001311146562651892,-0.003311146562651892,1.0,-0.025846733756116635,0.22481044461717262,llm,MMM|AMZN|CVX|UNH|MSFT,MCD|NVDA|DIS|HON|NKE,Long on strong fundamentals and growth; short on underperforming peers with clear weaknesses.
2024-12-31,sector,-0.002185714651327309,-0.004185714651327309,1.0,-0.025846733756116635,0.16119772420009723,llm,MMM|V|AMGN|UNH|IBM,CRM|NVDA|MSFT|VZ|DOW,Long on strong relative performance and high confidence; short on weak relative performance and clear underperformance.
2025-01-02,full,-0.00018057386018284494,-0.0036805738601828446,1.7499999999999998,0.1901370583195943,0.2834000220458978,llm,AMZN|CVX|DIS|GS|MSFT,AAPL|CSCO|NVDA|V|JPM,"Long tech and consumer stocks with strong fundamentals and growth, short overvalued or underperforming peers."
2025-01-02,sparse,-0.005089322844296663,-0.007689322844296664,1.3000000000000003,0.1901370583195943,0.2813461095470291,llm,AMZN|PG|CAT|AAPL|UNH,NVDA|HON|MSFT|CVX|DOW,"Long tech and consumer staples with strong growth, short underperforming tech and energy stocks."
2025-01-02,sector,0.00031901910043551996,-0.0029059808995644805,1.6125000000000003,0.1901370583195943,-0.15221775920979783,llm,NKE|AAPL|AMZN|DIS|WMT,MSFT|CSCO|VZ|BA|JPM,Long on consumer and technology leaders with high scores and confidence; short on underperforming financials and technologies.
2025-01-03,full,0.0029248534413600655,0.0004994566159632402,1.2126984126984126,0.19166092710885504,0.1699730918056619,llm,AMZN|GS|BA|AAPL|MRK,MSFT|CRM|CSCO|NVDA|AXP,Long on leading tech and industrial stocks with high confidence; short on underperforming tech and financials.
2025-01-03,sparse,-0.006542900629816884,-0.009442900629816885,1.4500000000000002,0.19166092710885504,0.1937225017173436,llm,AAPL|HON|CRM|WMT|UNH,BA|CSCO|MSFT|IBM|TRV,"Long tech and consumer staples, short industrials and financials based on high scores and confidence."
2025-01-03,sector,-0.006659327104570374,-0.010284327104570373,1.8124999999999998,0.19166092710885504,0.1132969811834619,llm,V|PG|CRM|IBM|MMM,VZ|DOW|CVX|AMZN|KO,"Long on leading tech and consumer staples, short on underperforming comms, materials, energy, and staples."
2025-01-06,full,-0.002007799206894971,-0.005245894444990209,1.6190476190476188,-0.17239124129752403,-0.11786280111934345,llm,AAPL|DIS|NKE|HON|MSFT,CSCO|V|GS|IBM|VZ,Long tech and consumer stocks with high scores and confidence; short underperforming tech and communication services stocks.
