date,topology,round,ticker,error,raw
2024-12-31,sector,-1,MANAGER,unusable manager JSON,
2025-01-02,sector,-1,MANAGER,unusable manager JSON,
2025-01-03,sector,-1,MANAGER,unusable manager JSON,
2025-01-03,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-06,sparse,-1,MANAGER,unusable manager JSON,
2025-01-06,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-07,sparse,-1,MANAGER,unusable manager JSON,
2025-01-07,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-08,sparse,-1,MANAGER,unusable manager JSON,
2025-01-08,sector,-1,MANAGER,unusable manager JSON,
2025-01-08,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-10,sparse,-1,MANAGER,unusable manager JSON,
2025-01-10,sector,-1,MANAGER,unusable manager JSON,
2025-01-13,sparse,-1,MANAGER,unusable manager JSON,
2025-01-13,sector,-1,MANAGER,unusable manager JSON,
2025-01-13,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-14,sparse,-1,MANAGER,unusable manager JSON,
2025-01-14,sector,-1,MANAGER,unusable manager JSON,
2025-01-14,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-15,sparse,-1,MANAGER,unusable manager JSON,
2025-01-15,sector,-1,MANAGER,unusable manager JSON,
2025-01-15,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-16,sector,-1,MANAGER,unusable manager JSON,
2025-01-16,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-17,sparse,-1,MANAGER,unusable manager JSON,
2025-01-17,sector,-1,MANAGER,unusable manager JSON,
2025-01-17,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-21,sparse,-1,MANAGER,unusable manager JSON,
2025-01-21,sector,-1,MANAGER,unusable manager JSON,
2025-01-21,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-22,sparse,-1,MANAGER,unusable manager JSON,
2025-01-22,sector,-1,MANAGER,unusable manager JSON,
2025-01-22,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-23,sparse,-1,MANAGER,unusable manager JSON,
2025-01-23,sector,-1,MANAGER,unusable manager JSON,
2025-01-23,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-24,sparse,-1,MANAGER,unusable manager JSON,
2025-01-24,sector,-1,MANAGER,unusable manager JSON,
2025-01-24,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-27,sparse,-1,MANAGER,unusable manager JSON,
2025-01-28,sector,-1,MANAGER,unusable manager JSON,
2025-01-29,sparse,-1,MANAGER,unusable manager JSON,
2025-01-29,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-30,sparse,-1,MANAGER,unusable manager JSON,
2025-01-30,sector,-1,MANAGER,unusable manager JSON,
2025-01-30,corr_topk,-1,MANAGER,unusable manager JSON,
2025-01-31,sector,-1,MANAGER,unusable manager JSON,
2025-02-03,sparse,-1,MANAGER,unusable manager JSON,
2025-02-03,sector,-1,MANAGER,unusable manager JSON,
2025-02-03,corr_topk,-1,MANAGER,unusable manager JSON,
2025-02-04,sparse,-1,MANAGER,unusable manager JSON,
2025-02-04,sector,-1,MANAGER,unusable manager JSON,
2025-02-04,corr_topk,-1,MANAGER,unusable manager JSON,
2025-02-05,sparse,-1,MANAGER,unusable manager JSON,
2025-02-05,sector,-1,MANAGER,unusable manager JSON,
2025-02-05,corr_topk,-1,MANAGER,unusable manager JSON,
2025-02-06,sparse,-1,MANAGER,unusable manager JSON,
2025-02-06,corr_topk,-1,MANAGER,unusable manager JSON,
2025-02-07,sparse,-1,MANAGER,unusable manager JSON,
2025-02-07,sector,-1,MANAGER,unusable manager JSON,
2025-02-07,corr_topk,-1,MANAGER,unusable manager JSON,
2025-02-10,sparse,-1,MANAGER,unusable manager JSON,
2025-02-10,corr_topk,-1,MANAGER,unusable manager JSON,
2025-02-11,sparse,-1,MANAGER,unusable manager JSON,
2025-02-11,sector,-1,MANAGER,unusable manager JSON,
2025-02-11,corr_topk,-1,MANAGER,unusable manager JSON,
2025-02-12,sparse,-1,MANAGER,unusable manager JSON,
2025-02-13,sparse,-1,MANAGER,unusable manager JSON,
2025-02-13,sector,-1,MANAGER,unusable manager JSON,
2025-02-13,corr_topk,-1,MANAGER,unusable manager JSON,
2025-02-14,sparse,-1,MANAGER,unusable manager JSON,
2025-02-14,sector,-1,MANAGER,unusable manager JSON,
2025-02-14,corr_topk,-1,MANAGER,unusable manager JSON,
2025-02-18,sparse,-1,MANAGER,unusable manager JSON,
2025-02-18,sector,-1,MANAGER,unusable manager JSON,
2025-02-18,corr_topk,-1,MANAGER,unusable manager JSON,
