date,topology,stage,n_calls,prompt_tokens,completion_tokens,total_tokens,tokens_per_call,wall_s,calls_per_s,tokens_per_s,call_latency_p50,call_latency_p95,fallbacks,token_source
2024-12-31,round0-shared,round0,498,83366,0,83366,167.4,1131.826,0.4,74.0,1.694,1.883,0,estimated
2024-12-31,sparse,round1,498,293693,0,293693,589.7,1007.393,0.5,292.0,2.019,2.257,0,estimated
2024-12-31,sparse,round2,498,304045,0,304045,610.5,1024.562,0.5,297.0,2.048,2.285,0,estimated
2024-12-31,sparse,manager,1,4183,0,4183,4183.0,13.786,0.1,303.0,13.786,13.786,0,estimated
2024-12-31,sector,round1,498,316157,0,316157,634.9,1038.299,0.5,304.0,2.105,2.403,0,estimated
2024-12-31,sector,round2,498,323867,0,323867,650.3,1042.078,0.5,311.0,2.131,2.399,0,estimated
2024-12-31,sector,manager,1,4261,0,4261,4261.0,14.153,0.1,301.0,14.153,14.153,0,estimated
2024-12-31,corr_topk,round1,498,77394,0,77394,155.4,820.816,0.6,94.0,1.624,1.866,0,estimated
2024-12-31,corr_topk,round2,498,77704,0,77704,156.0,829.281,0.6,94.0,1.638,1.878,0,estimated
2024-12-31,corr_topk,manager,1,4113,0,4113,4113.0,12.002,0.1,343.0,12.002,12.002,0,estimated
2025-01-02,round0-shared,round0,498,83362,0,83362,167.4,847.096,0.6,98.0,1.692,1.878,0,estimated
2025-01-02,sparse,round1,498,294137,0,294137,590.6,1001.712,0.5,294.0,2.017,2.205,0,estimated
2025-01-02,sparse,round2,498,301311,0,301311,605.0,1008.801,0.5,299.0,2.019,2.214,0,estimated
2025-01-02,sparse,manager,1,4186,0,4186,4186.0,12.032,0.1,348.0,12.032,12.032,0,estimated
2025-01-02,sector,round1,498,316625,0,316625,635.8,1034.825,0.5,306.0,2.104,2.422,0,estimated
2025-01-02,sector,round2,498,325545,0,325545,653.7,1050.75,0.5,310.0,2.158,2.424,0,estimated
2025-01-02,sector,manager,1,4176,0,4176,4176.0,13.987,0.1,299.0,13.987,13.987,0,estimated
2025-01-02,corr_topk,round1,498,77412,0,77412,155.4,818.999,0.6,95.0,1.624,1.877,0,estimated
2025-01-02,corr_topk,round2,498,77770,0,77770,156.2,827.91,0.6,94.0,1.640,1.867,0,estimated
2025-01-02,corr_topk,manager,1,4063,0,4063,4063.0,11.834,0.1,343.0,11.834,11.834,0,estimated
2025-01-03,round0-shared,round0,498,83363,0,83363,167.4,846.438,0.6,98.0,1.689,1.875,0,estimated
2025-01-03,sparse,round1,498,294335,0,294335,591.0,999.825,0.5,294.0,1.994,2.178,0,estimated
2025-01-03,sparse,round2,498,301177,0,301177,604.8,1010.603,0.5,298.0,2.022,2.239,0,estimated
2025-01-03,sparse,manager,1,4140,0,4140,4140.0,11.995,0.1,345.0,11.995,11.995,0,estimated
2025-01-03,sector,round1,498,316987,0,316987,636.5,1029.286,0.5,308.0,2.095,2.375,0,estimated
2025-01-03,sector,round2,498,320787,0,320787,644.2,1042.066,0.5,308.0,2.140,2.401,0,estimated
2025-01-03,sector,manager,1,4381,0,4381,4381.0,14.433,0.1,304.0,14.433,14.433,0,estimated
2025-01-03,corr_topk,round1,498,77478,0,77478,155.6,817.245,0.6,95.0,1.622,1.854,0,estimated
2025-01-03,corr_topk,round2,498,78070,0,78070,156.8,833.004,0.6,94.0,1.640,1.887,0,estimated
2025-01-03,corr_topk,manager,1,4080,0,4080,4080.0,13.826,0.1,295.0,13.826,13.826,0,estimated
