date,gross_ret,net_ret,turnover,longs,shorts,source,rationale
2024-12-31,0.004468496369068112,0.0024684963690681117,1.0,CRM|NVDA|AMZN|AAPL|AXP,JNJ|VZ|UNH|MRK|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-02,0.001116664632120525,0.0002381953570193303,0.4392346375505974,CRM|AMZN|WMT|BA|AAPL,DOW|JNJ|UNH|MRK|VZ,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-03,0.01182134362693285,0.011005915551872723,0.40771403753006363,CRM|BA|AMZN|WMT|AAPL,CVX|AMGN|JNJ|UNH|VZ,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-06,-0.013183425170568452,-0.014804610428380254,0.8105926289059011,CRM|BA|HON|AAPL|V,CVX|DOW|JNJ|MRK|UNH,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-07,0.002536620540160072,0.001998541588158984,0.26903947600054384,CRM|HON|AAPL|BA|V,CVX|JNJ|UNH|MRK|AMGN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-08,-0.01463032907226726,-0.015599240998207928,0.4844559629703335,CRM|BA|DIS|AAPL|V,CVX|MRK|HD|UNH|AMGN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-10,-0.020705950259680715,-0.021963814060043923,0.6289319001816046,CRM|V|DIS|GS|AMZN,JNJ|MRK|HD|UNH|AMGN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-13,0.007260199565191236,0.006361885316038419,0.44915712457640855,CRM|AMZN|DIS|V|AXP,DOW|JNJ|UNH|MRK|AMGN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-14,0.0022390037216098104,0.001089687629543136,0.5746580460333373,AMZN|CRM|DIS|WMT|BA,DOW|KO|JNJ|UNH|AMGN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-15,0.002713977981030667,0.0018440271222959182,0.43497542936737443,DIS|BA|CRM|AMZN|WMT,CAT|DOW|UNH|AMGN|HD,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-16,0.009631383717389521,0.008794348046992546,0.41851783519848756,CRM|AMZN|DIS|WMT|BA,KO|AMGN|HD|JNJ|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-17,-5.176860634086358e-05,-0.0004834628418337971,0.21584711774646675,DIS|WMT|AMZN|BA|CRM,CAT|HD|AMGN|JNJ|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-21,0.020914858375865868,0.020269641509473864,0.32260843319600113,WMT|DIS|CRM|AMZN|BA,AMGN|VZ|JNJ|HD|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-22,0.0052210238760641604,0.00356937199302439,0.825825941519885,DIS|WMT|CRM|CVX|JPM,VZ|AMGN|DOW|TRV|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-23,0.010847859257102058,0.009918658358452672,0.4646004493246928,WMT|DIS|CVX|AMZN|JPM,NVDA|VZ|DOW|AMGN|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-01-24,0.01690045907800617,0.015418383694176772,0.7410376919146986,CVX|AXP|JPM|GS|WMT,VZ|NVDA|AMGN|NKE|UNH,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
