date,topology,stage,n_calls,prompt_tokens,completion_tokens,total_tokens,tokens_per_call,wall_s,calls_per_s,tokens_per_s,call_latency_p50,call_latency_p95,fallbacks,token_source
2024-12-31,round0-shared,round0,498,83366,0,83366,167.4,1139.519,0.4,73.0,1.704,1.914,0,estimated
2024-12-31,sparse,round1,498,293779,0,293779,589.9,1017.205,0.5,289.0,2.032,2.249,0,estimated
2024-12-31,sparse,round2,498,303327,0,303327,609.1,1030.017,0.5,294.0,2.061,2.277,0,estimated
2024-12-31,sector,round1,498,316201,0,316201,634.9,1040.169,0.5,304.0,2.111,2.412,0,estimated
2024-12-31,sector,round2,498,324605,0,324605,651.8,1054.016,0.5,308.0,2.165,2.452,0,estimated
2024-12-31,corr_topk,round1,498,77398,0,77398,155.4,822.634,0.6,94.0,1.632,1.876,0,estimated
2024-12-31,corr_topk,round2,498,77888,0,77888,156.4,841.053,0.6,93.0,1.666,1.908,0,estimated
2025-01-08,round0-shared,round0,498,83365,0,83365,167.4,853.264,0.6,98.0,1.705,1.869,0,estimated
2025-01-08,sparse,round1,498,294095,0,294095,590.6,1006.163,0.5,292.0,2.007,2.218,0,estimated
2025-01-08,sparse,round2,498,301131,0,301131,604.7,1007.456,0.5,299.0,2.008,2.220,0,estimated
2025-01-08,sector,round1,498,316697,0,316697,635.9,1041.235,0.5,304.0,2.116,2.384,0,estimated
2025-01-08,sector,round2,498,324651,0,324651,651.9,1056.579,0.5,307.0,2.146,2.413,0,estimated
2025-01-08,corr_topk,round1,498,77516,0,77516,155.7,825.854,0.6,94.0,1.648,1.872,0,estimated
2025-01-08,corr_topk,round2,498,77932,0,77932,156.5,843.199,0.6,92.0,1.667,1.917,0,estimated
2025-01-16,round0-shared,round0,498,83361,0,83361,167.4,850.345,0.6,98.0,1.702,1.865,0,estimated
2025-01-16,sparse,round1,498,294219,0,294219,590.8,1006.631,0.5,292.0,2.009,2.223,0,estimated
2025-01-16,sparse,round2,498,301569,0,301569,605.6,1013.532,0.5,298.0,2.029,2.244,0,estimated
2025-01-16,sector,round1,498,316639,0,316639,635.8,1028.662,0.5,308.0,2.109,2.355,0,estimated
2025-01-16,sector,round2,498,323765,0,323765,650.1,1049.906,0.5,308.0,2.111,2.459,0,estimated
2025-01-16,corr_topk,round1,498,77468,0,77468,155.6,825.405,0.6,94.0,1.635,1.888,0,estimated
2025-01-16,corr_topk,round2,498,77584,0,77584,155.8,831.958,0.6,93.0,1.651,1.889,0,estimated
2025-01-24,round0-shared,round0,498,83373,0,83373,167.4,854.885,0.6,98.0,1.704,1.888,0,estimated
2025-01-24,sparse,round1,498,294007,0,294007,590.4,1011.456,0.5,291.0,2.029,2.243,0,estimated
2025-01-24,sparse,round2,498,300853,0,300853,604.1,1010.287,0.5,298.0,2.008,2.248,0,estimated
2025-01-24,sector,round1,498,316589,0,316589,635.7,1039.745,0.5,304.0,2.114,2.407,0,estimated
2025-01-24,sector,round2,498,321325,0,321325,645.2,1040.466,0.5,309.0,2.112,2.380,0,estimated
2025-01-24,corr_topk,round1,498,77428,0,77428,155.5,826.555,0.6,94.0,1.639,1.878,0,estimated
2025-01-24,corr_topk,round2,498,77588,0,77588,155.8,834.147,0.6,93.0,1.661,1.869,0,estimated
2025-01-31,round0-shared,round0,498,83370,0,83370,167.4,850.355,0.6,98.0,1.701,1.891,0,estimated
2025-01-31,sparse,round1,498,293949,0,293949,590.3,1014.63,0.5,290.0,2.032,2.250,0,estimated
